levelname,asctime,message,apk,version,phase,loadsJNI,local_port,remote_host,container,ip_source,port_source,method,host,url,port_dest,tls,ip_dest,https,cookie,PII,format,country,error,ip_anycast,android_rating,android_numDownloads,android_category,it_mentioned_by_policy,adequacy_decision_by_policy,countries_mentioned_by_policy,origins_transfers_outside_EEE,destinations_transfers_outside_EEE,frequency_transfers_outside_EEE,outside_EEE,stackTrace,TP-performed,TP-library,FP-intended,apk_it_gdpr_compliance
DEBUG,2023-12-14 19:16:23.383,Frida Results,ge.bog.mbankjunior,22,idle,True,56482.0,google.com,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:16:23.383,Frida Results,ge.bog.mbankjunior,22,idle,True,56732.0,facebook.com,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:16:23.383,Frida Results,ge.bog.mbankjunior,22,idle,True,56484.0,google.com,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:16:23.383,Frida Results,ge.bog.mbankjunior,22,idle,True,43896.0,magticom.ge,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:16:23.383,Frida Results,ge.bog.mbankjunior,22,idle,True,43898.0,magticom.ge,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:16:23.383,Frida Results,ge.bog.mbankjunior,22,idle,True,32812.0,m.facebook.com,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:16:23.383,Frida Results,ge.bog.mbankjunior,22,idle,True,32814.0,m.facebook.com,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:16:23.384,Frida Results,ge.bog.mbankjunior,22,idle,True,41872.0,www.google.com,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:16:23.384,Frida Results,ge.bog.mbankjunior,22,idle,True,41870.0,www.google.com,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:16:23.384,Frida Results,ge.bog.mbankjunior,22,idle,True,36526.0,privappserver,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:16:23.384,Frida Results,ge.bog.mbankjunior,22,idle,True,36532.0,privappserver,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:16:25.551,Connection intercepted,ge.bog.mbankjunior,22,idle,False,,None,new_traffic,192.168.1.178,36526.0,POST,firebaselogging-pa.googleapis.com,https://firebaselogging-pa.googleapis.com/v1/firelog/legacy/batchlog,443.0,True,142.250.178.170,True,[],Fingerprint,Clear_text,Spain,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
